floors,average_price,count,aver_pred_price_1.0,aver_pred_price_1.5,aver_pred_price_2.0,aver_pred_price_2.5,aver_pred_price_3.0,aver_pred_price_3.5
1.0,442180.6325842697,10680,435840.47,433019.12,428588.1,426761.34,426126.1,426265.12
1.5,558980.6429319371,1910,551543.56,551510.2,550519.44,546365.5,544658.3,544339.3
2.0,648891.163329693,8241,654790.9,648224.56,642811.9,638073.4,636458.6,636406.56
2.5,1060346.4906832299,161,1030357.25,1029807.6,1036431.1,1024197.56,1016920.44,1016434.2
3.0,582526.0391517129,613,590641.56,587794.56,585378.0,579333.0,577503.75,577259.0
3.5,933312.5,8,917995.9,918520.56,934184.8,923300.6,919456.7,919908.5
