bathrooms,average_price,count,aver_pred_price_0.0,aver_pred_price_0.5,aver_pred_price_0.75,aver_pred_price_1.0,aver_pred_price_1.25,aver_pred_price_1.5,aver_pred_price_1.75,aver_pred_price_2.0,aver_pred_price_2.25,aver_pred_price_2.5,aver_pred_price_2.75,aver_pred_price_3.0,aver_pred_price_3.25,aver_pred_price_3.5,aver_pred_price_3.75,aver_pred_price_4.0,aver_pred_price_4.25,aver_pred_price_4.5,aver_pred_price_4.75,aver_pred_price_5.0,aver_pred_price_5.25,aver_pred_price_5.5,aver_pred_price_5.75,aver_pred_price_6.0,aver_pred_price_6.25,aver_pred_price_6.5,aver_pred_price_6.75,aver_pred_price_7.5,aver_pred_price_7.75,aver_pred_price_8.0
5.25,1817176.923076923,13,1692680.0,1693493.1,1694518.6,1706455.2,1709396.2,1709470.2,1761318.6,1763792.0,1785084.5,1777214.9,1789872.0,1806465.5,1843143.8,1830434.6,1847753.9,1858685.8,1866488.6,1874906.9,1911292.8,1912029.2,1910588.1,1902625.4,1880408.9,1879947.1,1880583.8,1862355.9,1832828.8,1832562.9,1832562.9,1832562.9
5.5,2522300.0,10,2060253.8,2068230.4,2068230.4,2076489.8,2085606.2,2085606.2,2137514.5,2140795.5,2157572.2,2150551.8,2166540.5,2193386.2,2241664.0,2234040.8,2252290.5,2272032.0,2284641.5,2305807.8,2356610.0,2358382.0,2356934.0,2350569.0,2338608.5,2337925.8,2337800.8,2325848.5,2282318.0,2281966.0,2281966.0,2281966.0
5.75,2492500.0,4,1959180.0,1959180.0,1959180.0,1982206.8,1989598.5,1989598.5,2046628.1,2051318.5,2065942.5,2057739.6,2069405.4,2102486.5,2173863.8,2175648.5,2194535.0,2207932.0,2221733.0,2236653.0,2272520.0,2272953.5,2272840.5,2272840.5,2257378.0,2256862.2,2256973.0,2256973.0,2222926.5,2222926.5,2222926.5,2222926.5
6.0,2946833.3333333335,6,2363617.0,2363617.0,2363617.0,2384277.8,2381161.8,2381161.8,2444578.2,2451375.0,2469196.8,2462831.5,2479644.5,2500870.2,2551247.5,2540285.2,2563177.5,2583086.8,2600890.2,2615100.5,2646685.2,2649239.8,2648763.2,2644776.2,2631968.8,2630616.8,2632033.2,2626503.0,2601574.2,2601574.2,2601574.2,2601574.2
6.25,3094000.0,2,2354298.0,2354298.0,2354298.0,2383249.5,2395848.5,2395848.5,2538155.0,2546225.5,2561942.5,2554657.5,2579054.5,2627697.8,2713452.8,2690148.8,2715416.5,2748459.5,2758309.5,2786283.0,2837307.0,2840176.5,2840176.5,2840176.5,2840176.5,2840176.5,2844118.5,2844118.5,2793239.5,2793239.5,2793239.5,2793239.5
6.5,1709445.0,2,1455975.1,1455975.1,1455975.1,1502816.2,1505688.9,1505688.9,1541500.5,1547810.0,1572604.5,1565940.4,1596821.6,1615015.1,1641778.8,1633801.2,1643340.1,1642019.4,1647476.8,1664007.5,1674313.5,1674313.5,1667231.5,1666081.0,1665764.4,1665764.4,1665764.4,1645057.5,1610804.0,1608594.8,1608594.8,1608594.8
6.75,2734000.0,2,2470018.5,2470018.5,2470018.5,2476784.0,2501456.5,2502827.0,2546310.2,2553817.0,2574447.8,2538837.8,2573411.0,2609013.0,2659511.2,2641940.0,2649682.5,2678282.8,2688104.0,2715794.5,2733816.0,2738292.0,2738697.8,2738697.8,2728457.0,2728457.0,2727887.0,2727887.0,2710119.0,2710119.0,2710119.0,2710119.0
7.5,450000.0,1,589988.3,589988.3,589988.3,593439.0,598362.7,598362.7,607081.06,602287.9,617006.56,616041.1,615270.75,614263.0,615375.8,604200.1,605499.75,605204.1,605377.3,598734.3,598315.9,598315.9,598315.9,598315.9,558671.25,558671.25,547127.25,530018.9,530018.9,528827.3,528827.3,528827.3
7.75,6885000.0,1,4748506.0,4748506.0,4748506.0,4760776.0,4768542.0,4768542.0,4867989.0,4880740.0,4896783.0,4884908.0,4901567.0,4970463.0,5140277.5,5143980.5,5191543.5,5267759.5,5283618.0,5343952.5,5495697.0,5495697.0,5499429.5,5499429.5,5499429.5,5493522.0,5498072.0,5498072.0,5498072.0,5498072.0,5498072.0,5498072.0
8.0,4990000.0,2,2272541.5,2272541.5,2272541.5,2267233.5,2275643.5,2275643.5,2291788.5,2307347.2,2325539.5,2323073.5,2367056.5,2420317.5,2522222.0,2514871.2,2538396.5,2554978.8,2576247.5,2595709.0,2637447.0,2637447.0,2637447.0,2612444.5,2612444.5,2611390.5,2611390.5,2611390.5,2611390.5,2611390.5,2611390.5,2611390.5
